10.000,3.357
10.000,3.342
10.100,4.063
10.100,4.825
10.200,3.971
10.200,4.895
10.300,5.112
10.300,3.955
10.300,0.000
10.400,5.150
10.400,3.914
10.400,0.000
10.500,3.878
10.500,5.021
10.600,5.215
10.600,3.875
10.600,0.000
10.700,5.237
10.700,3.876
10.700,0.000
10.800,5.270
10.800,3.875
10.800,0.000
10.900,5.301
10.900,3.884
10.900,0.000
11.000,3.875
11.000,5.153
11.100,5.324
11.100,3.887
11.100,0.000
11.200,5.349
11.200,3.881
11.200,0.000
11.300,5.369
11.300,3.893
11.300,0.000
11.400,3.904
11.400,5.216
11.500,5.403
11.500,3.907
11.500,0.000
11.600,5.415
11.600,3.906
11.600,0.000
11.700,3.940
11.700,5.300
11.800,5.401
11.800,3.987
11.800,0.000
11.900,4.004
11.900,5.335
12.000,5.510
12.000,3.860
12.000,0.000
12.100,5.430
12.100,4.052
12.100,0.000
12.200,3.860
12.200,5.263
12.300,5.413
12.300,4.067
12.300,0.000
12.400,5.401
12.400,4.105
12.400,0.000
12.500,3.860
12.500,5.252
12.600,5.574
12.600,3.878
12.600,0.000
12.700,4.182
12.700,5.423
12.800,5.524
12.800,4.046
12.800,0.000
12.900,3.885
12.900,5.299
13.100,4.043
13.100,5.466
13.200,3.925
13.200,5.339
13.300,4.192
13.300,5.505
13.400,4.071
13.400,5.490
13.500,3.926
13.500,5.357
13.600,5.641
13.600,3.964
13.600,0.000
13.700,3.844
13.700,0.437
13.700,5.226
13.900,5.627
13.900,4.119
13.900,0.000
14.000,5.423
14.000,4.524
14.200,5.671
14.200,3.999
14.200,0.000
14.600,5.682
14.600,4.125
14.600,0.000
14.700,4.350
14.700,5.623
14.800,4.490
14.800,5.593
15.000,3.869
15.000,0.757
15.000,5.196
15.100,5.544
15.100,4.581
15.200,3.977
15.200,0.538
15.200,5.388
15.300,5.541
15.300,4.661
15.400,5.151
15.400,5.339
15.500,5.668
15.500,4.347
15.500,0.000
15.600,4.575
15.600,5.649
15.700,4.000
15.700,0.642
15.700,5.406
15.800,4.164
15.800,5.603
15.900,3.974
15.900,0.744
15.900,5.336
16.000,5.601
16.000,4.834
16.100,4.993
16.100,5.548
16.200,4.117
16.200,0.393
16.200,5.538
16.300,4.852
16.300,5.616
16.400,4.707
16.400,5.681
16.500,5.568
16.500,5.094
16.600,3.854
16.600,1.264
16.600,4.939
16.700,4.827
16.700,5.667
16.800,5.276
16.800,5.496
16.900,4.884
16.900,5.661
17.000,4.494
17.000,5.745
17.100,5.416
17.100,5.439
17.200,4.960
17.200,5.608
17.300,4.562
17.300,5.760
17.400,5.783
17.400,3.917
17.400,1.278
17.500,4.508
17.500,5.761
17.600,4.998
17.600,5.695
17.700,4.391
17.700,5.708
17.900,4.747
17.900,5.784
18.200,5.802
18.200,3.975
18.200,1.344
18.300,3.829
18.300,1.718
18.300,4.671
18.400,5.800
18.400,3.825
18.400,1.725
18.500,5.806
18.500,4.193
18.500,0.845
18.600,5.143
18.600,5.727
18.700,4.129
18.700,1.082
18.700,5.428
18.800,5.747
18.800,4.981
18.900,4.969
18.900,5.783
19.000,5.814
19.000,4.054
19.000,1.331
19.100,5.802
19.100,3.817
19.100,1.957
19.200,5.286
19.200,5.722
19.300,5.766
19.300,4.986
19.400,4.517
19.400,5.828
19.500,5.836
19.500,4.246
19.500,0.966
19.600,4.762
19.600,5.813
19.700,4.762
19.700,5.813
19.800,5.814
19.800,3.842
19.800,2.027
19.900,4.803
19.900,5.838
2.000,1.164
2.000,1.155
2.000,1.157
2.000,1.156
20.000,5.812
20.000,3.889
20.000,1.966
3.000,1.335
3.000,1.324
3.000,1.322
3.000,1.318
3.100,1.770
3.100,0.861
3.100,1.750
3.100,0.857
3.200,0.652
3.200,1.916
3.200,0.648
3.200,1.920
3.300,0.467
3.300,2.026
3.300,0.468
3.300,2.019
3.400,2.158
3.400,0.307
3.400,2.129
3.400,0.306
3.500,2.216
3.500,2.218
3.600,2.336
3.600,2.299
3.700,2.409
3.700,2.373
3.800,2.473
3.800,2.435
3.900,2.546
3.900,2.501
4.000,2.614
4.000,2.569
4.100,2.658
4.100,2.613
4.200,2.717
4.200,2.672
4.300,2.772
4.300,2.727
4.400,2.818
4.400,2.775
4.500,2.866
4.500,2.820
4.600,2.907
4.600,2.864
4.700,2.949
4.700,2.903
4.800,2.984
4.800,2.941
4.900,3.023
4.900,2.970
5.000,3.051
